kraj,obdobie,rok_absolv,spracovane_osoby,pracujuce_osoby,zamestnane_osoby,osoby_na_dohode,osoby_szco,nezamest_osoby,pokrac_studium_SS,pokrac_studium_VS,osoby_mater_rodic,osoby_statut_studenta,mimo_evidencie,priem_hmesmzda,podiel_prac_v_odbore
1,201807,2018,4168,2334,361,1962,11,10,0,0,5,1819,0,833.2392,0.28531855
1,201808,2018,4168,2370,472,1888,10,19,0,0,7,1772,0,841.1067,0.31779662
1,201809,2018,4168,946,664,277,5,352,328,2069,8,0,465,828.4861,0.34789157
1,201810,2018,4168,1056,788,260,8,276,328,2069,9,0,430,839.0579,0.3401015
1,201811,2018,4168,1130,874,248,8,184,328,2069,10,0,447,879.9367,0.3318078
1,201812,2018,4168,1147,897,242,8,151,328,2069,10,0,463,860.33685,0.32998884
1,201901,2018,4168,1125,909,208,8,156,328,2069,12,0,478,867.09845,0.33443344
1,201902,2018,4168,1154,937,209,8,141,328,2069,13,0,463,845.6584,0.32123798
1,201903,2018,4168,1191,974,209,8,117,328,2069,15,0,448,865.35406,0.31930184
1,201904,2018,4168,1225,1003,214,8,99,328,2069,17,0,430,883.87225,0.3120638
1,201905,2018,4168,1261,1022,231,8,83,328,2069,18,0,409,932.7537,0.3189824
1,201906,2018,4168,1284,1046,230,8,68,328,2069,19,0,400,939.91064,0.31835565
2,201807,2018,4155,2169,467,1699,3,15,0,0,8,1963,0,792.4863,0.36830837
2,201808,2018,4155,2170,550,1617,3,34,0,0,10,1941,0,864.65015,0.38181818
2,201809,2018,4155,1028,815,210,3,453,482,1768,15,0,409,818.2721,0.34723926
2,201810,2018,4155,1141,944,194,3,341,482,1768,18,0,405,868.7106,0.3220339
2,201811,2018,4155,1242,1059,180,3,236,482,1768,21,0,406,891.8426,0.3295562
2,201812,2018,4155,1265,1082,180,3,198,482,1768,21,0,421,857.559,0.3391867
2,201901,2018,4155,1248,1096,150,2,189,482,1768,22,0,446,901.89655,0.33941606
2,201902,2018,4155,1286,1138,146,2,169,482,1768,22,0,428,841.49384,0.33567664
2,201903,2018,4155,1335,1188,145,2,139,482,1768,26,0,405,851.73883,0.32323232
2,201904,2018,4155,1371,1221,148,2,114,482,1768,26,0,394,888.22736,0.3226863
2,201905,2018,4155,1401,1258,141,2,94,482,1768,28,0,382,955.5286,0.3282989
2,201906,2018,4155,1426,1278,146,2,73,482,1768,32,0,374,918.08606,0.32237872
3,201807,2018,4215,2465,395,2065,5,17,0,0,13,1720,0,836.30225,0.36455697
3,201808,2018,4215,2485,488,1993,4,35,0,0,15,1680,0,870.4842,0.37295082
3,201809,2018,4215,996,793,200,3,529,351,1899,17,0,423,816.32947,0.40226987
3,201810,2018,4215,1147,969,175,3,344,351,1899,21,0,453,854.92224,0.3880289
3,201811,2018,4215,1226,1060,163,3,285,351,1899,24,0,430,907.1749,0.38679245
3,201812,2018,4215,1216,1055,158,3,280,351,1899,25,0,444,857.51135,0.37535545
3,201901,2018,4215,1233,1104,126,3,234,351,1899,29,0,469,879.7646,0.38043478
3,201902,2018,4215,1290,1153,134,3,198,351,1899,29,0,448,846.5308,0.37727666
3,201903,2018,4215,1326,1191,132,3,181,351,1899,31,0,427,867.69385,0.37279597
3,201904,2018,4215,1355,1212,140,3,163,351,1899,31,0,416,900.43396,0.36386138
