coin name,coin symbol,coin price,market cap,volume,origin_pattern,origin_url,createdAt,updatedAt,pingedAt
Aave,AAVE,$347.77,$4.3B,$561.2M,https://www.coinbase.com//price?page=2,https://www.coinbase.com//price?page=2,2021-04-20 15:43:40 UTC,2021-04-20 15:43:40 UTC,2021-04-20 15:43:40 UTC
Algorand,ALGO,$1.29,$3.7B,$581.9M,https://www.coinbase.com//price?page=2,https://www.coinbase.com//price?page=2,2021-04-20 15:43:40 UTC,2021-04-20 15:43:40 UTC,2021-04-20 15:43:40 UTC
Avalanche,AVAX,$26.20,$3.3B,$334.1M,https://www.coinbase.com//price?page=2,https://www.coinbase.com//price?page=2,2021-04-20 15:43:40 UTC,2021-04-20 15:43:40 UTC,2021-04-20 15:43:40 UTC
Binance Coin,BNB,$519.39,$79.7B,$6.7B,https://www.coinbase.com//price,https://www.coinbase.com//price,2021-04-20 15:43:40 UTC,2021-04-20 15:43:40 UTC,2021-04-20 15:43:40 UTC
Binance Coin,BNB,$520.22,$79.7B,$6.7B,https://www.coinbase.com/price,https://www.coinbase.com/price,2021-04-20 15:43:40 UTC,2021-04-20 15:43:40 UTC,2021-04-20 15:43:40 UTC
Binance USD,BUSD,$1.00,$5.4B,$7.2B,https://www.coinbase.com//price,https://www.coinbase.com//price,2021-04-20 15:43:40 UTC,2021-04-20 15:43:40 UTC,2021-04-20 15:43:40 UTC
Binance USD,BUSD,$1.00,$5.4B,$7.2B,https://www.coinbase.com/price,https://www.coinbase.com/price,2021-04-20 15:43:40 UTC,2021-04-20 15:43:40 UTC,2021-04-20 15:43:40 UTC
BitTorrent,BTT,$0.0078,$5.1B,$1.8B,https://www.coinbase.com//price,https://www.coinbase.com//price,2021-04-20 15:43:40 UTC,2021-04-20 15:43:40 UTC,2021-04-20 15:43:40 UTC
BitTorrent,BTT,$0.0078,$5.1B,$1.8B,https://www.coinbase.com/price,https://www.coinbase.com/price,2021-04-20 15:43:40 UTC,2021-04-20 15:43:40 UTC,2021-04-20 15:43:40 UTC
Bitcoin,BTC,"$55,016.82",$1.0T,$65.2B,https://www.coinbase.com//price,https://www.coinbase.com//price,2021-04-20 15:43:40 UTC,2021-04-20 15:43:40 UTC,2021-04-20 15:43:40 UTC
Bitcoin,BTC,"$55,022.12",$1.0T,$65.2B,https://www.coinbase.com/price,https://www.coinbase.com/price,2021-04-20 15:43:40 UTC,2021-04-20 15:43:40 UTC,2021-04-20 15:43:40 UTC
Bitcoin BEP2,BTCB,"$54,674.86",$3.0B,$73.6M,https://www.coinbase.com//price?page=2,https://www.coinbase.com//price?page=2,2021-04-20 15:43:40 UTC,2021-04-20 15:43:40 UTC,2021-04-20 15:43:40 UTC
Bitcoin Cash,BCH,$911.91,$16.9B,$8.0B,https://www.coinbase.com//price,https://www.coinbase.com//price,2021-04-20 15:43:40 UTC,2021-04-20 15:43:40 UTC,2021-04-20 15:43:40 UTC
Bitcoin Cash,BCH,$913.82,$16.9B,$8.0B,https://www.coinbase.com/price,https://www.coinbase.com/price,2021-04-20 15:43:40 UTC,2021-04-20 15:43:40 UTC,2021-04-20 15:43:40 UTC
