Periodicity ;Year;Quarter ;Month;Item;Money Supply in Million Saudi Riyals
Annually;1989;-;-;Time & Savings Deposits;44662.0
Annually;1989;-;-;Other Quasi- Money Deposits;43767.1
Annually;1991;-;-;Money Supply M1;120470.451832
Annually;1992;-;-;Time & Savings Deposits;46332.9
Annually;1994;-;-;Demand  Deposits;80679.357
Annually;1994;-;-;Other Quasi- Money Deposits;59169.37
Annually;1995;-;-;Money Supply M2;185693.659
Annually;1996;-;-;Other Quasi- Money Deposits;54313.953
Annually;1997;-;-;Currency Outside Banks;45823.203
Annually;1998;-;-;Other Quasi- Money Deposits;59547.916
Annually;2000;-;-;Time & Savings Deposits;90832.006
Annually;2000;-;-;Demand  Deposits;114480.931
Annually;2001;-;-;Demand  Deposits;130192.471
Annually;2003;-;-;Money Supply M1;223021.86
Annually;2004;-;-;Other Quasi- Money Deposits;87691.664
Annually;2004;-;-;Money Supply M1;271303.381
Annually;2005;-;-;Other Quasi- Money Deposits;104542.462
Annually;2006;-;-;Currency Outside Banks;69324.101
Annually;2006;-;-;Money Supply M3;660268.053
Annually;2007;-;-;Money Supply M1;383556.735
Annually;2008;-;-;Currency Outside Banks;83006.392
Annually;2009;-;-;Currency Outside Banks;88395.351
Annually;2010;-;-;Demand  Deposits;530072.227
Annually;2010;-;-;Money Supply M2;923874.378
Annually;2011;-;-;Other Quasi- Money Deposits;161149.603
Annually;2011;-;-;Currency Outside Banks;119901.526406
Annually;2011;-;-;Money Supply M2;1078395.84241
Annually;2012;-;-;Money Supply M3;1408073.50029
Annually;2012;-;-;Money Supply M2;1219355.94129
Annually;2013;-;-;Money Supply M2;1353676.71818
Annually;2014;-;-;Demand  Deposits;991384.41
Annually;2014;-;-;Money Supply M1;1145134.55311
Annually;2015;-;-;Other Quasi- Money Deposits;197562.28
Annually;2016;-;-;Currency Outside Banks;170323.068834
Annually;2016;-;-;Money Supply M2;1642428.57552
Annually;2017;-;-;Currency Outside Banks;172046.350695
Annually;2018;-;-;Money Supply M3;1853645.37185
Quarterly;1993;Q1;-;Demand  Deposits;85427.936
Quarterly;1993;Q1;-;Currency Outside Banks;46572.6255
Quarterly;1993;Q2;-;Currency Outside Banks;47880.194353
Quarterly;1993;Q3;-;Other Quasi- Money Deposits;60344.594
Quarterly;1993;Q4;-;Money Supply M2;169395.095617
Quarterly;1994;Q2;-;Other Quasi- Money Deposits;57765.033
Quarterly;1994;Q2;-;Money Supply M2;175775.470395
Quarterly;1995;Q2;-;Currency Outside Banks;46875.73062
Quarterly;1995;Q2;-;Money Supply M3;245410.18962
Quarterly;1995;Q2;-;Money Supply M2;187208.85462
Quarterly;1995;Q3;-;Currency Outside Banks;42715.833
Quarterly;1995;Q3;-;Money Supply M1;124262.251
Quarterly;1995;Q3;-;Money Supply M3;240165.248
Quarterly;1996;Q1;-;Money Supply M2;189989.778
Quarterly;1996;Q2;-;Money Supply M3;250982.571
Quarterly;1996;Q3;-;Demand  Deposits;86951.385
Quarterly;1996;Q4;-;Time & Savings Deposits;71080.751
Quarterly;1996;Q4;-;Demand  Deposits;89890.221
Quarterly;1996;Q4;-;Money Supply M1;132927.856
Quarterly;1996;Q4;-;Money Supply M3;258322.56
Quarterly;1997;Q1;-;Time & Savings Deposits;70956.802
Quarterly;1997;Q1;-;Money Supply M3;268086.775
Quarterly;1997;Q2;-;Time & Savings Deposits;69364.539
Quarterly;1997;Q2;-;Demand  Deposits;97130.391
Quarterly;1997;Q2;-;Money Supply M3;269690.486
Quarterly;1998;Q3;-;Time & Savings Deposits;79211.595
Quarterly;1998;Q4;-;Time & Savings Deposits;83436.098
Quarterly;1998;Q4;-;Demand  Deposits;95253.268
Quarterly;1998;Q4;-;Currency Outside Banks;45019.049
Quarterly;1998;Q4;-;Money Supply M1;140272.317
Quarterly;1998;Q4;-;Money Supply M3;283256.331
Quarterly;1999;Q2;-;Time & Savings Deposits;81892.308
Quarterly;1999;Q2;-;Money Supply M1;146065.449
Quarterly;1999;Q2;-;Money Supply M2;227957.757
Quarterly;1999;Q3;-;Time & Savings Deposits;82624.614
Quarterly;1999;Q3;-;Demand  Deposits;101569.875
Quarterly;1999;Q3;-;Money Supply M1;143316.566
Quarterly;1999;Q4;-;Money Supply M2;242006.595
Quarterly;2000;Q1;-;Demand  Deposits;112228.023
Quarterly;2000;Q2;-;Time & Savings Deposits;87736.572
Quarterly;2000;Q4;-;Demand  Deposits;114480.931
Quarterly;2000;Q4;-;Currency Outside Banks;51019.457
Quarterly;2001;Q1;-;Money Supply M3;325475.38
Quarterly;2001;Q2;-;Time & Savings Deposits;87349.837
Quarterly;2001;Q3;-;Other Quasi- Money Deposits;66354.342
Quarterly;2001;Q4;-;Money Supply M2;271080.485
Quarterly;2002;Q2;-;Time & Savings Deposits;88127.743
Quarterly;2002;Q2;-;Currency Outside Banks;49257.453
Quarterly;2002;Q2;-;Money Supply M2;280899.548
Quarterly;2002;Q3;-;Time & Savings Deposits;91472.29
Quarterly;2002;Q4;-;Demand  Deposits;150009.862
Quarterly;2003;Q1;-;Demand  Deposits;156587.343
Quarterly;2003;Q1;-;Currency Outside Banks;55544.399
Quarterly;2003;Q1;-;Money Supply M3;398877.569
Quarterly;2003;Q2;-;Money Supply M2;322777.737
Quarterly;2003;Q3;-;Demand  Deposits;161965.869
Quarterly;2003;Q3;-;Other Quasi- Money Deposits;81749.121
Quarterly;2003;Q3;-;Money Supply M1;214199.026
Quarterly;2003;Q4;-;Time & Savings Deposits;113381.881
Quarterly;2003;Q4;-;Demand  Deposits;167577.202
Quarterly;2003;Q4;-;Currency Outside Banks;55444.658
Quarterly;2004;Q2;-;Currency Outside Banks;57072.654
