04/13/1980, 04/13/1980, Sunday 31st of May 2009, 04:05:12, 07/01/2039 07:18:31 AM, Sep 76' was Sunday,
11/29/1996, 11/29/1996, Sunday 21st of July 1996, 23:46:31, 12/20/2018 12:54:00 PM, Sep 38' was Saturday,
02/11/2029, 02/11/2029, Thursday 20th of October 2011, 07:09:41, 07/08/1996 10:25:01 PM, Jul 15' was Monday,
10/10/2024, 10/10/2024, Monday 18th of January 1988, 05:35:33, 10/23/1986 01:30:39 AM, Nov 26' was Monday,
08/20/2035, 08/20/2035, Thursday 14th of June 1973, 02:52:33, 10/18/1978 01:43:15 AM, Nov 34' was Wednesday,
07/22/2034, 07/22/2034, Friday 20th of November 2009, 17:42:00, 08/29/1985 08:28:03 PM, Apr 12' was Thursday,
10/06/2011, 10/06/2011, Monday 20th of May 2019, 10:50:33, 09/16/2015 11:12:23 AM, Oct 32' was Friday,
05/13/2016, 05/13/2016, Saturday 24th of August 2030, 17:16:44, 06/30/2015 10:35:47 PM, Jul 44' was Tuesday,
05/31/2037, 05/31/2037, Thursday 22nd of November 1979, 04:15:05, 04/18/1976 12:50:40 AM, May 74' was Wednesday,
12/14/2024, 12/14/2024, Tuesday 24th of November 2009, 22:06:42, 11/21/1990 10:33:14 AM, Jun 23' was Wednesday,
07/29/1992, 07/29/1992, Tuesday 18th of January 1983, 03:59:50, 01/07/1978 09:35:38 AM, Feb 95' was Saturday,
02/13/1973, 02/13/1973, Wednesday 7th of January 2004, 02:58:52, 04/15/2028 06:12:09 AM, Nov 26' was Monday,
01/05/2020, 01/05/2020, Wednesday 18th of February 2004, 17:58:11, 03/23/2004 02:59:24 PM, Oct 40' was Friday,
10/03/2006, 10/03/2006, Tuesday 2nd of February 1988, 18:58:07, 11/25/2039 11:27:53 AM, Nov 70' was Friday,
02/07/1991, 02/07/1991, Friday 28th of June 1974, 22:34:47, 05/02/2019 11:51:50 AM, Jun 91' was Thursday,
03/07/2037, 03/07/2037, Monday 17th of July 2023, 20:07:07, 03/05/2047 09:22:26 AM, Dec 11' was Saturday,
08/06/1970, 08/06/1970, Friday 8th of November 2024, 19:51:48, 03/09/1983 05:28:57 PM, Sep 24' was Wednesday,
